month,RR,NBJRR1,NBJRR5,NBJRR10,NBJBROU
2007-01-01,2.836,10.2,0.6,0.0,
2007-02-01,8.411666666666667,13.333333333333334,6.5,3.0,
2007-03-01,4.321666666666666,12.833333333333334,2.6666666666666665,0.0,
2007-04-01,1.0566666666666666,1.0,0.8333333333333334,0.6666666666666666,
2007-05-01,8.136666666666668,13.0,6.666666666666667,2.3333333333333335,
2007-06-01,4.546666666666667,10.333333333333334,4.0,0.6666666666666666,
2007-07-01,7.805000000000001,12.666666666666666,5.166666666666667,3.5,
2007-08-01,14.496,13.8,7.2,4.4,
2007-09-01,1.83,4.666666666666667,1.3333333333333333,0.0,
2007-11-01,3.775,8.0,2.8333333333333335,0.0,
2007-12-01,6.394,9.166666666666666,4.333333333333333,1.1666666666666667,
2008-02-01,3.3520000000000003,7.833333333333333,1.6666666666666667,0.8333333333333334,
2008-03-01,8.438333333333333,18.333333333333332,6.833333333333333,1.3333333333333333,
2008-04-01,5.983333333333333,13.0,4.666666666666667,0.8333333333333334,
2008-05-01,6.995,8.5,4.5,1.6666666666666667,
2008-06-01,1.7166666666666668,5.166666666666667,0.6666666666666666,0.0,
2008-07-01,3.801666666666667,5.5,2.3333333333333335,0.8333333333333334,
2008-08-01,8.035,8.0,3.75,2.25,
2008-09-01,2.2700000000000005,6.2,1.0,0.6,
2008-10-01,6.581999999999999,11.6,4.6,2.2,
2009-02-01,5.066,10.0,3.4,1.4,
2009-05-01,6.134,10.0,4.0,1.8,
2009-06-01,6.304,8.2,4.8,3.0,
2009-07-01,4.088,9.8,2.8,0.6,
2009-08-01,0.895,2.0,1.0,0.0,
2009-09-01,2.415,4.5,2.25,0.5,
2009-11-01,6.37,16.75,4.0,1.0,
2009-12-01,7.330000000000001,15.666666666666666,6.666666666666667,1.3333333333333333,
2010-02-01,5.785,13.25,3.5,2.0,
2010-04-01,1.48,3.5,1.5,0.0,
2010-05-01,5.1475,8.25,3.75,1.0,
2010-06-01,5.518,6.6,3.0,1.2,
2010-07-01,8.296666666666667,6.0,3.3333333333333335,2.6666666666666665,
2010-08-01,6.396666666666666,11.666666666666666,4.0,1.3333333333333333,
2010-09-01,6.375,9.5,4.75,2.25,
